id,name,address,coordinates,review_count,rating,zip_code,query,location
U9-le07l5KBvwBfQK9LYvA,The Hangry Cook,"711 Nostrand Ave, Brooklyn, NY 11216","(40.67291125698892, -73.95007777116355)",5,4.0,11216,american food,brooklyn
u9mm7AXbqyM2p4Aa5Ufx4g,Pegasus,"8610 3rd Ave, Brooklyn, NY 11209","(40.6232147216797, -74.0314636230469)",396,4.0,11209,american food,brooklyn
5Zmx98Ob3XGq0sJxb_pwMQ,Seven Restaurant,"470 Nostrand Ave, Brooklyn, NY 11216","(40.68274, -73.95019)",118,4.5,11216,american food,brooklyn
LNlrTAg9m6jC85OidOo2ug,One Elleven,"111 Oriental Blvd, Brooklyn, NY 11235","(40.57719, -73.95249)",38,4.5,11235,american food,brooklyn
0U9uW93o9DUnAP7r-76LVg,Haenyeo,"239 5th Ave, Brooklyn, NY 11215","(40.67519, -73.98116)",209,4.0,11215,american food,brooklyn
jhnqGlxIgXEToKf5mU-xbw,Max's Es-Ca,"1559 Richmond Rd, Staten Island, NY 10304","(40.5915292888837, -74.1012184081099)",201,4.0,10304,american food,brooklyn
xSIODrm5qMxgM4_ImEV88A,Atlas Steakhouse,"943 Coney Island Ave, Brooklyn, NY 11230","(40.63448095028707, -73.9672155787189)",247,3.5,11230,american food,brooklyn
-aievhVzik4nHkxQFXFUrg,Balboa Restaurant,"1655 Bedford Ave, Brooklyn, NY 11225","(40.6661, -73.9565499)",88,4.0,11225,american food,brooklyn
446l_JghlLeekhd7_blMag,Eyval,"25 Bogart St, Brooklyn, NY 11206","(40.70413, -73.93309)",26,4.0,11206,american food,brooklyn
HIGneWKny_s38Y6jRoTDrQ,Moon & Flower House,"5912 7th Ave, Brooklyn, NY 11220","(40.637238, -74.011715)",75,2.5,11220,american food,brooklyn
G16v_BzYeVHDPTUofRifVw,Park Plaza Restaurant,"220 Cadman Plz W, Brooklyn, NY 11201","(40.6979862, -73.9917908)",291,3.5,11201,american food,brooklyn
XyulGZ5P9VhtNcK7zN2R9g,Cardiff Giant,"415 Myrtle Ave, Brooklyn, NY 11205","(40.69324, -73.96923)",54,4.0,11205,american food,brooklyn
1HNE72j7-8DoTqyMNQj7KA,The Burger House,"1556 Fulton St, New York, NY 11216","(40.67968, -73.93867)",31,4.5,11216,american food,brooklyn
ArfL-sU2FaB73WV1qQ4c6Q,Simple Cafe & Restaurant,"346 Bedford Ave, Brooklyn, NY 11249","(40.71244, -73.96275)",208,4.0,11249,american food,brooklyn
JU5d81TYm7IJHWqOqJWMqw,Have & Meyer,"103 Havemeyer St, Brooklyn, NY 11211","(40.7132687751084, -73.9564743950496)",172,4.0,11211,american food,brooklyn
Nbj70v3zuBEyGQlVvFB-uQ,Juice Bar Deli & Grill,"1113 Kings Hwy, Brooklyn, NY 11229","(40.60765, -73.9614)",1,4.0,11229,american food,brooklyn
CV34WV9aNsERlQACAJSAOg,Runner & Stone,"285 3rd Ave, Brooklyn, NY 11215","(40.67721, -73.985919)",303,4.0,11215,american food,brooklyn
ZJtg5RVPRQUUvdDboWX94g,Mera ,"282 Kings Hwy, Brooklyn, NY 11223","(40.605021, -73.980301)",141,4.0,11223,american food,brooklyn
poq7lRkt1re371nzeNtzcg,Pies 'N Thighs,"383 Bridge St, Brooklyn, NY 11201","(40.69183, -73.98511)",6,3.5,11201,american food,brooklyn
-mttoQ5KTGlOJqbuYE3o9Q,Union Grounds,"270 Smith St, New York, NY 11231","(40.6826515, -73.9933624)",74,4.0,11231,american food,brooklyn
4j2-w9SppeZX1VP9-hTD6w,Blu Room Bar & Lounge,"643 Vanderbilt Ave, Brooklyn, NY 11238","(40.67781, -73.96861)",1,5.0,11238,american food,brooklyn
zkJTvJNQMutqyOUgqZRvhA,Hook & Reel Cajun Seafood & Bar,"2183A Ralph Ave, Brooklyn, NY 11234","(40.626735, -73.91693933)",93,4.0,11234,american food,brooklyn
Rzy-FeiJGYS0pA6HnjYv3A,Empanada Loca,"606 5th Ave, Brooklyn, NY 11215","(40.663927, -73.990969)",312,4.0,11215,american food,brooklyn
xRiLLXjeM2wOvVTYJH2__A,Barboncino Pizza & Bar,"781 Franklin Ave, Brooklyn, NY 11238","(40.67206, -73.95717)",1082,4.5,11238,american food,brooklyn
HWTH6QwatW6lcYaIWgw4Kg,McMahon's Public House,"39 5th Ave, Brooklyn, NY 11217","(40.6816498, -73.9765623)",224,4.0,11217,american food,brooklyn
UinIRaZuSSYlLrOrhy2V0Q,Catfish,"1433 Bedford Ave, Brooklyn, NY 11216","(40.674106, -73.953529)",723,4.0,11216,american food,brooklyn
Y6FMtiM2Q3CwcuxI0E4USQ,Blue Agave,"7215-B 3rd Ave, Brooklyn, NY 11209","(40.6330902, -74.0268565)",278,4.0,11209,american food,brooklyn
avDowqH2Jte3_5WXFPHxOA,Columbus Diner,"6610 18th Ave, Brooklyn, NY 11204","(40.6184, -73.99129)",49,3.0,11204,american food,brooklyn
QS7LomUJFfx9LufSx4RVvQ,Sea Witch,"703 5th Ave, Brooklyn, NY 11215","(40.660818, -73.993535)",287,4.0,11215,american food,brooklyn
XTXR8oSWTWdy3HRTcphfzg,Fort Hamilton Distillery,"68 34th St, Fl 2, Brooklyn, NY 11232","(40.65722, -74.0064)",3,4.5,11232,american food,brooklyn
edLi09LmjWXgL1NOCJ4qjA,Bungalow Bar,"377 Beach 92nd St, Rockaway Beach, NY 11693","(40.5890639, -73.817172)",608,4.0,11693,american food,brooklyn
UbOYpFK9lzJh4c6SyUELjQ,Crave Burger Cafe,"61 Baldwin Ave, Jersey City, NJ 07306","(40.7241619287648, -74.0639340103768)",23,5.0,07306,american food,brooklyn
__tMfFwKW6yKCvkgmHxBTw,Venus Restaurant,"637 Rogers Ave, Brooklyn, NY 11226","(40.65593, -73.95286)",28,4.0,11226,american food,brooklyn
lmcVbZaSfTtGdjRN5ejZiw,Brooklyn Waffle House,"434 Hancock St, Brooklyn, NY 11233","(40.683787, -73.93803)",28,3.0,11233,american food,brooklyn
dfh4IK_KOa_giRjrRaHg0Q,White Star Bar,"230 Brunswick St, Jersey City, NJ 07302","(40.72794, -74.04991)",500,4.0,07302,american food,brooklyn
Wckmo8BSOvTQa2CdbW0tGw,Burger Urway,"528 Clarkson Ave, Brooklyn, NY 11203","(40.6558, -73.94201)",52,2.0,11203,american food,brooklyn
I0L3U17b-R_J4QoQqgxYYA,Royal Rib House,"303 Halsey St, Brooklyn, NY 11216","(40.68441177455129, -73.92966002604349)",94,4.0,11216,american food,brooklyn
m1cJLpDN4B-_0hGgPfe5OA,Salt + Charcoal,"171 Grand St, Brooklyn, NY 11249","(40.71453, -73.9613511)",680,4.0,11249,american food,brooklyn
G5YZ7UcqCEYtezOxEETZjQ,Gage and Tollner,"372 Fulton St, Brooklyn, NY 11201","(40.691328, -73.987861)",125,4.0,11201,american food,brooklyn
_zWgpSaV1iQlAWPy-Yp0VQ,Texas Chicken & Burgers,"521 Ocean Ave, Brooklyn, NY 11226","(40.6499440298946, -73.9607535302639)",15,3.5,11226,american food,brooklyn
e8pGWlIqfUtWbSVwnqzAtA,The Stewed Cow,"400 Adams St, Hoboken, NJ 07030","(40.7425307706373, -74.0363262392521)",255,3.5,07030,american food,brooklyn
rUmYzsdlt8K6f_x7qH3SsQ,Nostrand Donut Shop,"1449 Nostrand Ave, Brooklyn, NY 11226","(40.651, -73.94943)",44,4.0,11226,american food,brooklyn
F37Gp6exe2v8yuzr_gy5BQ,Libertador Steakhouse - Brooklyn,"404 Henry St, Brooklyn, NY 11201","(40.68733913171535, -73.99817533175143)",273,4.0,11201,american food,brooklyn
1L0pkxU2QqOkOg2drzqtPA,Randolph Beer,"104 S 4th St, Brooklyn, NY 11249","(40.71198, -73.96348)",407,4.0,11249,american food,brooklyn
RZvUUM0vJVji8mSnPSFhTA,James Provisions,"605 Carlton Ave, Brooklyn, NY 11238","(40.678984, -73.971489)",484,3.5,11238,american food,brooklyn
8vwANffgp9s9RDCSn3mD5w,Keg & Lantern Brewing Company,"97 Nassau Ave, Brooklyn, NY 11222","(40.724054, -73.950341)",286,4.0,11222,american food,brooklyn
YL1LxYufuwX5sq4RwW-2Gw,"Floyd, NY","131 Atlantic Ave, Brooklyn, NY 11201","(40.6907799, -73.9957)",215,4.0,11201,american food,brooklyn
v4cXt2qe9pq_XWJflL5ISg,Parc Oasis Oyster Bar,"6403 11th Ave, Brooklyn, NY 11219","(40.6290427824765, -74.005197991996)",162,4.0,11219,american food,brooklyn
_RT9XPpn5jkNesxNzvktqw,Prince Tea House,"6122 7th Ave, Brooklyn, NY 11220","(40.63594, -74.01303)",535,4.0,11220,american food,brooklyn
TK1rbgBEPQWyxF4pu973oQ,Chris's Restaurant,"1866 86th St, Brooklyn, NY 11214","(40.60617, -74.00116)",85,4.0,11214,american food,brooklyn
hKChLzaG8tyrSrg3U_wRNw,Threes Brewing,"333 Douglass St, Brooklyn, NY 11217","(40.6797218322754, -73.9821624755859)",434,4.0,11217,american food,brooklyn
zCsdiQvwDI0SVi8QQC6jFw,Burger King,"9006 Church Ave, Brooklyn, NY 11236","(40.6527563434354, -73.9195159077644)",19,1.0,11236,american food,brooklyn
eOxGkxi5hEY426ww5qk3GA,Golda,"504 Franklin Ave, Brooklyn, NY 11238","(40.68151, -73.95591)",139,4.0,11238,american food,brooklyn
m2fe2Jgb4U3shkoRCA2jqA,Tasty Bites of New York,"1456 Saint Johns Pl, Brooklyn, NY 11213","(40.67026, -73.93011)",24,3.5,11213,american food,brooklyn
ydYyMb4mmnJ0--4ZE_MsjA,Dog Day Afternoon,"266 Prospect Park W, Brooklyn, NY 11215","(40.6586, -73.98213)",52,4.5,11215,american food,brooklyn
s5nPO911cYB2chdwqSqT9g,La Nonna Ristorante & Bar,"184 Kent Ave, Brooklyn, NY 11249","(40.718468787527, -73.9639185527139)",388,4.0,11249,american food,brooklyn
opyY8Zk2RqiwLu9SzkQXJA,Harlem Shake,"100 W 124th St, New York, NY 10027","(40.8070988060148, -73.9464158056276)",1113,3.5,10027,american food,brooklyn
bZc7uxqmmYLxLb14gfCOuw,Cafe Madeline,"1603 Cortelyou Rd, Brooklyn, NY 11226","(40.6419312, -73.9633539)",599,4.0,11226,american food,brooklyn
e6IRd3qhCh8VhkFWOJ27mw,Talon,"220 Wyckoff Ave, Brooklyn, NY 11237","(40.7010419197088, -73.9143620431423)",79,3.5,11237,american food,brooklyn
96svxj2NIOrba2fBMZAqOQ,Bogota Latin Bistro,"141 5th Ave, Brooklyn, NY 11217","(40.678165, -73.978976)",2435,4.0,11217,american food,brooklyn
J2l2NeFmAKQPZarkMC9Ryw,Bluebird,"504 Flatbush Ave, Brooklyn, NY 11225","(40.66182, -73.96174)",168,3.5,11225,american food,brooklyn
vcvQBFX9wejuqWf6ea9Clw,Peeps Kitchen,"55 McGuinness Blvd S, Brooklyn, NY 11222","(40.72139, -73.94587)",35,5.0,11222,american food,brooklyn
1raTNJpNeTOLLJsm5YY1mA,As You Are,"252 Schermerhorn St, Brooklyn, NY 11217","(40.687901987667885, -73.98367965580849)",25,3.5,11217,american food,brooklyn
mxDfu4bHwSXoCr3FRpyMsw,L'Antagoniste,"238 Malcolm X Blvd, Brooklyn, NY 11221","(40.68501, -73.92961)",316,4.5,11221,american food,brooklyn
dhKZRnt3DwfSu48OdPDdvA,Pasta Louise Cafe,"803 8th Ave, Brooklyn, NY 11215","(40.666091, -73.9787254)",226,4.5,11215,american food,brooklyn
onAwRBPfM9lLVFl20vGvtw,Pablo's Restaurant,"43 Newkirk Plz, Brooklyn, NY 11226","(40.6351853578907, -73.9626748971464)",43,3.5,11226,american food,brooklyn
_iqjfNmleH02i2-yvP8MZA,New Dyker Restaurant,"8505 18th Ave, Brooklyn, NY 11214","(40.60753, -74.00197)",54,4.0,11214,american food,brooklyn
Xewlbk_WZkNudhJa7zmvtw,Diamond Lil,"179 Nassau Ave, Brooklyn, NY 11222","(40.72551, -73.94614)",39,5.0,11222,american food,brooklyn
NiXTjV_3j6goEQ_zY_oYYQ,Abe's Corner,"674 Rogers Ave, Brooklyn, NY 11226","(40.65494, -73.95309)",13,4.5,11226,american food,brooklyn
8Hl-QIN0eOs7OXmFU_3bfA,Fire Grilled Burgers,"1077 Bay St, New York, NY 10305","(40.6169152667924, -74.068284333429)",80,2.5,10305,american food,brooklyn
YpGxtJy9ErnjfGG6DXy5uA,Sweatshop Coffee,"232 Metropolitan Ave, Brooklyn, NY 11211","(40.7149542040034, -73.959786)",371,4.5,11211,american food,brooklyn
B-MDhRKRTmTqj4Vp_p8AGw,P.J. Clarke's,"250 Vesey St, New York, NY 10281","(40.71376403876921, -74.01622797321502)",656,3.0,10281,american food,brooklyn
ui4Hhq2duXIZLuzev9531g,Otway,"930 Fulton St, Brooklyn, NY 11238","(40.68274, -73.96388)",103,4.0,11238,american food,brooklyn
4bhHF3Pm1K8F0UGW5yumVw,La Tombola Restaurant,"2102 Riegelmann Boardwalk, Brooklyn, NY 11224","(40.57259, -73.98755)",34,2.5,11224,american food,brooklyn
VgXNaUKNFW2ibLU9LkuGjg,Lindenwood Diner & Restaurant,"2870 Linden Blvd, Brooklyn, NY 11208","(40.66989, -73.85758)",371,4.0,11208,american food,brooklyn
RqnPXUsRyFShLA5zhSQKFg,Pearl Street Supper Club,"147 Front St, Brooklyn, NY 11201","(40.70253, -73.98711)",2,3.0,11201,american food,brooklyn
lxQ-tzFmL1tmUqZUN-CSRQ,Bozu,"296 Grand St, Brooklyn, NY 11211","(40.7129, -73.95749)",868,4.0,11211,american food,brooklyn
yYT-Eo7LChczZs7YE_BL2w,Wing Wagon,"351 Flatbush Ave, Brooklyn, NY 11238","(40.677126, -73.972091)",133,3.0,11238,american food,brooklyn
2Souder8nK1UM_Z86tlklQ,Atlantis Diner,"8600 Foster Ave, Brooklyn, NY 11236","(40.6431786, -73.9141128)",30,4.0,11236,american food,brooklyn
0czWwSVOVjVQaefbL4Zq-g,Kokomo,"65 Kent Ave, Brooklyn, NY 11249","(40.721985, -73.959706)",648,4.0,11249,american food,brooklyn
utM-5navObsVA5sCRHobzA,Madre,"214 Franklin St, Brooklyn, NY 11222","(40.73311, -73.95798)",126,4.5,11222,american food,brooklyn
0itsOZxeHy2KPnA40Rwexw,Sweet Polly,"71 6th Ave, Brooklyn, NY 11217","(40.68047, -73.9744599)",184,4.0,11217,american food,brooklyn
VYSqJpvAKkQncHhY3RIKzg,George's Restaurant,"5701 5th Ave, Brooklyn, NY 11220","(40.640949, -74.014247)",117,3.0,11220,american food,brooklyn
8vDBwBThldNxqvQ7ur1Uzw,Risbo,"701 Flatbush Ave, Brooklyn, NY 11225","(40.6560593, -73.9597273)",220,4.0,11225,american food,brooklyn
KJFosOrLotvQo_rntg0sjA,Bricolage,"162 5th Ave, Brooklyn, NY 11217","(40.67792, -73.97975)",623,4.0,11217,american food,brooklyn
WUPrcnURSfibzPdAr0AA-g,Home Frite,"1047 Bedford Ave, Store 2, Brooklyn, NY 11216","(40.688207, -73.954681)",198,3.5,11216,american food,brooklyn
x33YpFWMPGf6hX4LYRNR-w,Grill Cheese House,"Brooklyn, NY 11217","(40.682746887207, -73.9781875610352)",1,4.0,11217,american food,brooklyn
_M5FVY4hkcuU-ASdVZPfRQ,Tacos El Bronco,"4324 4th Ave, Brooklyn, NY 11220","(40.65006, -74.00915)",663,4.0,11220,american food,brooklyn
HBcmdviQgkWO4bqgxAjtNw,Aunt Butchies of Brooklyn,"4864 Arthur Kill Rd, Staten Island, NY 10309","(40.52356, -74.23877)",177,3.5,10309,american food,brooklyn
4pj4ol7lXiytDD-BTKe3kg,Las Santas,"572 Fulton St, Brooklyn, NY 11217","(40.6882, -73.97953)",279,4.5,11217,american food,brooklyn
vGR-OFk8QWOhdq6vZGxNHA,Aumm Aumm Pizzeria and Wine Bar at The Brownstone,"17 Nordhoff Pl, Englewood, NJ 07631","(40.8823047205187, -73.9848231281618)",168,4.0,07631,american food,brooklyn
xJm9JJLooQ1Sc7ncM2-JJA,The Meatball Shop - Williamsburg,"170 Bedford Ave, Brooklyn, NY 11249","(40.7182749, -73.9576213)",1268,4.0,11249,american food,brooklyn
TT517g4saZlXO_SEJzfmvw,Philadelphia Grille,"10004 4th Ave, Brooklyn, NY 11209","(40.61265, -74.0340499)",80,4.5,11209,american food,brooklyn
M-AcAh1C_eQfhzGk6ZmOSQ,Emma's Torch,"345 Smith St, Brooklyn, NY 11231","(40.679982813419755, -73.99482922536114)",116,4.5,11231,american food,brooklyn
lqkqsHe_2KN35LE5JIaYNg,Henry Street Ale House,"62 Henry St, Brooklyn, NY 11201","(40.699099048604666, -73.9924659)",237,3.5,11201,american food,brooklyn
RNRLQXg_P2cGxLEMVlKZQA,Arden,"788 Franklin Ave, Brooklyn, NY 11238","(40.6717311853659, -73.957878)",20,5.0,11238,american food,brooklyn
OzgvdC0oJPh1FQTLJF2yXw,Fancy Nancy,"1038 Bedford Ave, Brooklyn, NY 11205","(40.6895502, -73.9554046)",169,4.0,11205,american food,brooklyn
AAQDZdKhtcX7otmOfOF9nw,Gino's Restaurant,"7414 5th Ave, Brooklyn, NY 11209","(40.63, -74.02274)",775,4.0,11209,american food,brooklyn
IS-Y-QftXbN1ZLg_7chFlw,Le Petit Café,"502 Court St, Brooklyn, NY 11231","(40.676716, -73.998846)",545,3.5,11231,american food,brooklyn
LAPFUsKrNapGRGIaFfP7Vg,Michelle's Cocktail Lounge,"2294 Bedford Ave, Brooklyn, NY 11226","(40.64776, -73.95601)",14,3.5,11226,american food,brooklyn
j1Xo0WYYnzBrLFn6PP1brQ,Fisherman's Cove,"2025 Church Ave, Brooklyn, NY 11226","(40.65031, -73.96012)",52,3.0,11226,american food,brooklyn
pv_9QjRf45GRd3pMeKmmKw,Jay's Quick Bites,"1961 Flatbush Ave, Brooklyn, NY 11234","(40.6221484, -73.93596476625316)",19,4.0,11234,american food,brooklyn
5CXBrHdBfK7wnu-KXXmUrw,Puffy's Tavern,"81 Hudson St, New York, NY 10013","(40.718555, -74.009078)",109,4.0,10013,american food,brooklyn
16iknHkGY9ZhbA_8k30PTQ,Nathan's Famous,"569 Myrtle Ave, Brooklyn, NY 11205","(40.6939943879843, -73.9614629745483)",2,4.0,11205,american food,brooklyn
-BmS1FH3DSK6fSifIt8GgQ,Nurnberger Bierhaus,"817 Castleton Ave, Staten Island, NY 10310","(40.63499, -74.10966)",240,4.5,10310,american food,brooklyn
R_kM3maXKOn_evtyhwvjgw,Brooklyn Bridge Bistro,"63 Tillary St, Brooklyn, NY 11201","(40.69641, -73.9884)",69,3.0,11201,american food,brooklyn
ubU-a57kM6Gaciu0Hf_bBQ,La Cabana Rodriguez - Rodriguez Fried Chicken,"1062 Flatbush Ave, Brooklyn, NY 11226","(40.644786, -73.958281)",88,3.5,11226,american food,brooklyn
Jmj8qdzKqcCqP5PJuDeK4g,Zamaan,"8915 5th Ave, Brooklyn, NY 11209","(40.61933583593517, -74.02774278679357)",87,5.0,11209,american food,brooklyn
e3wnoFx9usra3zmgI2BlXw,Shake King,"210 Broad St, Elizabeth, NJ 07201","(40.66703142068566, -74.21532611369918)",1,5.0,07201,american food,brooklyn
RrNe_0PReWHXAnjTEXBikQ,Luke's Lobster Brooklyn Bridge Park,"11 Water St, Brooklyn, NY 11201","(40.70359, -73.99411)",386,4.0,11201,american food,brooklyn
z3vcYpnDgnBzZNqhQMOHUA,Fatoosh Pitza & Grill,"330 Hicks St, Brooklyn, NY 11201","(40.69148, -73.9978)",109,4.0,11201,american food,brooklyn
CFR-HzVHKWRMpMAR3LAhzg,Montesacro Pinseria Brooklyn,"432 Union Ave, Brooklyn, NY 11211","(40.71338, -73.95136)",207,4.5,11211,american food,brooklyn
